City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
342,tofol,5.3248,163.0078,28.21,74,91,3.91,FM,1721759746
343,pisco,-13.7,-76.2167,18.34,77,4,4.63,PE,1721759748
344,timimoun,29.2639,0.231,46.21,9,0,3.09,DZ,1721759749
345,novo cruzeiro,-17.4681,-41.8753,23.97,37,1,2.74,BR,1721759750
346,lautoka,-17.6167,177.4667,22.92,73,40,4.63,FJ,1721759752
347,saldanha,-33.0117,17.9442,13.03,84,100,3.83,ZA,1721759753
348,lionel town,17.8101,-77.2406,33.28,61,0,7.49,JM,1721759754
349,agat village,13.3886,144.6585,28.06,88,0,2.57,GU,1721759755
350,nova sintra,14.8667,-24.7167,24.95,80,100,4.2,CV,1721759756
351,tekirdag,40.978,27.5085,25.64,71,61,5.12,TR,1721759758
352,okhotsk,59.3833,143.3,15.05,82,100,1.08,RU,1721759759
353,vila velha,-20.3297,-40.2925,23.97,79,20,6.69,BR,1721759675
354,kaa-khem,51.6833,94.7333,17.02,71,100,1.68,RU,1721759762
355,vorkuta,67.5,64.0,10.34,69,73,3.75,RU,1721759763
356,bakchar,57.0186,82.0711,17.65,69,100,1.13,RU,1721759715
357,tidjikja,18.5564,-11.4271,22.48,84,99,10.45,MR,1721759766
358,quelimane,-17.8786,36.8883,22.97,78,20,0.0,MZ,1721759767
359,neryungri,56.6709,124.6491,14.88,90,0,1.45,RU,1721759768
